mu is estimated mean Pr(HR) adjusted to lg-wide avg hr by hitters                                            1
one lg-wide avg hr by LHB another for RHB
zbar is standardized (mean=0,sd=1) version of aggregate hrfrq of...
... all hitters to each park, separately for LHB,RHB
e.g. RHBs who hit in Camden Yards were almost 2 std deviations above avg in hrs/pa

                bat_
Obs    park    hand_cd          Mu    rmu      hrobs     rhrobs      zbar

  1    CIN        L        0.03294      1    0.035335       6      -0.83658
  2    BAL        L        0.03289      2    0.036156       4       0.39227
  3    BAL        R        0.03278      3    0.038596       1       1.97555
  4    NYA        L        0.03261      4    0.035853       5       0.49686
  5    CIN        R        0.03198      5    0.033377       9      -0.31225
  6    PHI        R        0.03141      6    0.032172      14      -0.55612
  7    NYA        R        0.03085      7    0.037177       2       2.36744
  8    CHN        R        0.03050      8    0.030938      20      -0.34254
  9    CHA        L        0.03021      9    0.030905      21      -1.27704
 10    COL        R        0.03018     10    0.034322       7       0.17003
 11    CHA        R        0.03018     11    0.032702      12       0.67636
 12    MIL        R        0.02983     12    0.033033      11       0.36940
 13    ARI        R        0.02938     13    0.030255      23      -0.28206
 14    TOR        R        0.02936     14    0.036624       3       2.48588
 15    HOU        R        0.02910     15    0.032561      13       1.73146
 16    TOR        L        0.02903     16    0.031757      17      -0.25409
 17    MIL        L        0.02902     17    0.031286      18      -0.74329
 18    CLE        L        0.02869     18    0.030895      22      -0.10625
 19    PHI        L        0.02855     19    0.029752      25      -1.48863
 20    TEX        L        0.02844     20    0.033978       8       0.98640
 21    WAS        R        0.02832     21    0.029700      26      -0.20609
 22    NYN        R        0.02742     22    0.028699      35      -0.31546
 23    COL        L        0.02700     23    0.030153      24      -0.63866
 24    DET        R        0.02693     24    0.029533      28       0.67640
 25    LAN        R        0.02692     25    0.029474      29       0.03614
 26    MIN        R        0.02662     26    0.033034      10       1.81527
 27    HOU        L        0.02637     27    0.029081      31       0.16236
 28    TEX        R        0.02611     28    0.029375      30       0.34466
 29    BOS        R        0.02601     29    0.029638      27       1.16772
 30    ARI        L        0.02581     30    0.026944      41      -1.32417
 31    SEA        R        0.02580     31    0.031960      16       1.81090
 32    LAN        L        0.02577     32    0.032007      15       0.27994
 33    SDN        R        0.02573     33    0.028774      34       0.23205
 34    NYN        L        0.02571     34    0.028918      33      -0.46001
 35    ANA        R        0.02568     35    0.031137      19       1.09596
 36    CLE        R        0.02539     36    0.029012      32       1.29189
 37    PIT        L        0.02528     37    0.026908      42      -0.47642
 38    TBA        R        0.02524     38    0.027152      40       0.73867
 39    ANA        L        0.02487     39    0.028041      37      -0.31438
 40    DET        L        0.02483     40    0.025205      47      -1.34998
 41    WAS        L        0.02481     41    0.028245      36      -0.24071
 42    SEA        L        0.02472     42    0.027658      39      -0.09893
 43    ATL        R        0.02452     43    0.026741      43      -0.25586
 44    TBA        L        0.02428     44    0.025967      45       0.15860
 45    CHN        L        0.02336     45    0.026732      44      -0.23140
 46    MIN        L        0.02305     46    0.025316      46      -0.65775
 47    SDN        L        0.02285     47    0.022749      55      -1.68658
 48    OAK        L        0.02281     48    0.025148      48      -0.51315
 49    SLN        R        0.02254     49    0.024922      49       0.06175
 50    KCA        R        0.02252     50    0.024299      52      -0.11173
 51    OAK        R        0.02244     51    0.027777      38       1.67271
 52    ATL        L        0.02237     52    0.024521      50      -0.64092
 53    SFN        R        0.02209     53    0.021956      57      -0.89055
 54    KCA        L        0.02190     54    0.024026      53      -0.77844
 55    SLN        L        0.02153     55    0.023735      54      -0.92294
 56    PIT        R        0.02132     56    0.020966      58      -1.07672
 57    BOS        L        0.02112     57    0.024371      51       0.00558
 58    MIA        R        0.02043     58    0.022083      56      -0.75071
 59    MIA        L        0.01800     59    0.019623      59      -1.25909
 60    SFN        L        0.01775     60    0.017987      60      -1.80271
